Date,diesel_price_volatility_factor_v1
1996-04-17,
1996-04-18,
1996-04-19,
1996-04-22,
1996-04-23,
1996-04-24,
1996-04-25,
1996-04-26,
1996-04-29,
1996-04-30,0.02054804667656326
1996-05-01,0.013498971154211096
1996-05-02,0.012866839377079243
1996-05-03,0.011843892002959983
1996-05-06,0.01203005495507913
1996-05-07,0.013176156917368308
1996-05-08,0.014298407059684869
1996-05-09,0.017352553446427187
1996-05-10,0.023100024050011526
1996-05-13,0.04131518418746844
1996-05-14,0.049035134795822076
1996-05-15,0.061212289978765204
1996-05-16,0.06895247961055816
1996-05-17,0.07091465919602859
1996-05-20,0.0663743591724662
1996-05-21,0.06139353929092751
1996-05-22,0.0508401634755654
1996-05-23,0.041177124177819234
1996-05-24,0.029325756597230124
1996-05-28,0.028210518133017677
1996-05-29,0.02917399907832672
1996-05-30,0.02935302369433151
1996-05-31,0.027330081107331608
1996-06-03,0.023500354607253495
1996-06-04,0.020706681691344535
1996-06-05,0.016475233938652644
1996-06-06,0.01502183595821612
1996-06-07,0.016216932166377252
1996-06-10,0.022282030627590398
1996-06-11,0.02739910785246654
1996-06-12,0.036972061523984655
1996-06-13,0.043142657415704645
1996-06-14,0.047992592020944705
1996-06-17,0.0554091849586124
1996-06-18,0.055022823547243
1996-06-19,0.05580680962033142
1996-06-20,0.05108337411635038
1996-06-21,0.044446722163856006
1996-06-24,0.03676063716047826
1996-06-25,0.02858224001796099
1996-06-26,0.027968235951202
1996-06-27,0.027096740271354013
1996-06-28,0.02838544227827391
1996-07-01,0.02753099263658046
1996-07-02,0.026910551420914322
1996-07-03,0.021472462985567625
1996-07-05,0.011264990013307356
1996-07-08,0.008654478609362755
1996-07-09,0.006019413038931117
1996-07-10,0.006019413038931117
1996-07-11,0.006019413038931117
1996-07-12,0.008096638534322416
1996-07-15,0.011559027256262847
1996-07-16,0.01683250823060088
1996-07-17,0.025364016506327244
1996-07-18,0.029254629263301798
1996-07-19,0.03400980250849094
1996-07-22,0.036912057650581885
1996-07-23,0.03465640873873891
1996-07-24,0.030923022706928215
1996-07-25,0.02477027788835895
1996-07-26,0.019771191162897866
1996-07-29,0.014041209191355316
1996-07-30,0.010319345371133415
1996-07-31,0.010392839415239464
1996-08-02,0.015492291990243334
1996-08-05,0.017096133415998756
1996-08-06,0.016157557571196315
1996-08-07,0.016186414056234364
1996-08-08,0.016693312034061172
1996-08-09,0.017063606496474728
1996-08-12,0.0157073938711072
1996-08-13,0.013703608608274272
1996-08-14,0.011390054140925584
1996-08-15,0.005621387729011977
1996-08-16,0.005606543795710524
1996-08-19,0.005358275012632181
1996-08-20,0.00498998997993861
1996-08-21,0.0063324560795862345
1996-08-22,0.008974655672745028
1996-08-23,0.00899938269487302
1996-08-26,0.009433392225958829
1996-08-27,0.009743373816765176
1996-08-28,0.008934328302794527
1996-08-29,0.008102811583361028
1996-08-30,0.009036346360971961
1996-09-03,0.010785278031748656
1996-09-04,0.01665466234355052
1996-09-05,0.019962186475654266
1996-09-06,0.022655879786245278
1996-09-09,0.023545700244416434
1996-09-10,0.025635045456473687
1996-09-11,0.02590667009778518
1996-09-12,0.024005554912698693
1996-09-13,0.019885505609193447
1996-09-16,0.015271251131162945
1996-09-17,0.010297788327810073
1996-09-18,0.010297788327810073
1996-09-19,0.010042133460793155
1996-09-20,0.014214233867654625
1996-09-23,0.01674116682512304
1996-09-24,0.018121810064116943
1996-09-25,0.017086706983953454
1996-09-26,0.017086706983953454
1996-09-27,0.016357465166296225
1996-09-30,0.01592900917613084
1996-10-01,0.02134400774612392
1996-10-02,0.024212255849740003
1996-10-03,0.029135888522575402
1996-10-04,0.02963200221982147
1996-10-07,0.027933452664819922
1996-10-08,0.025742528581663163
1996-10-09,0.025856226415399825
1996-10-10,0.024623611071940728
1996-10-11,0.022103041520216818
1996-10-14,0.014394829318581753
1996-10-15,0.01279062156425528
1996-10-16,0.008733078876699909
1996-10-17,0.017933209417167674
1996-10-18,0.024085265205099713
1996-10-21,0.0281709069786541
1996-10-22,0.027518882406247305
1996-10-23,0.024743124746526974
1996-10-24,0.023518550597819432
1996-10-25,0.022544030991224772
1996-10-28,0.021473756593157867
1996-10-29,0.020292582114872833
1996-10-30,0.017810421418682828
1996-10-31,0.017276830985133072
1996-11-01,0.01593179908931156
1996-11-04,0.01593179908931156
1996-11-05,0.01864999255287212
1996-11-06,0.022056493123088446
1996-11-07,0.02411569336897907
1996-11-08,0.025995939853924035
1996-11-11,0.024626995125041712
1996-11-12,0.021594495183313574
1996-11-13,0.019393297811355494
1996-11-14,0.01902746552866055
1996-11-15,0.018193100035145293
1996-11-18,0.01710230653709603
1996-11-19,0.016547574511756227
1996-11-20,0.017563851766875735
1996-11-21,0.01485634918514641
1996-11-22,0.01442374585342969
1996-11-25,0.01261788853616147
1996-11-26,0.012139924949424574
1996-11-27,0.010585104838608198
1996-11-29,0.010585104838608198
1996-12-02,0.011187294380476403
1996-12-03,0.012920268315062928
1996-12-04,0.013401492454196633
1996-12-05,0.010996969279452732
1996-12-06,0.009323804659752924
1996-12-09,0.00556177429722139
1996-12-10,0.010604506379622411
1996-12-11,0.011167910378495979
1996-12-12,0.013784048752086345
1996-12-13,0.015536694915225028
1996-12-16,0.015456030825822609
1996-12-17,0.014604413336001465
1996-12-18,0.013685353078703395
1996-12-19,0.013685353078703395
1996-12-20,0.013685353078703395
1996-12-23,0.013685353078703395
1996-12-24,0.012284136111257064
1996-12-26,0.012211561006771936
1996-12-27,0.009855060741675577
1996-12-30,0.006026792034085664
