Date,diesel_momentum_factor_10d
1996-04-17,
1996-04-18,
1996-04-19,
1996-04-22,
1996-04-23,
1996-04-24,
1996-04-25,
1996-04-26,
1996-04-29,
1996-04-30,
1996-05-01,0.044198895027624224
1996-05-02,0.05376344086021498
1996-05-03,0.03723404255319152
1996-05-06,0.010416666666666676
1996-05-07,-0.010471204188481685
1996-05-08,-0.015625000000000014
1996-05-09,-0.031249999999999913
1996-05-10,-0.047120418848167464
1996-05-13,-0.11518324607329843
1996-05-14,-0.13775510204081634
1996-05-15,-0.14285714285714277
1996-05-16,-0.19897959183673464
1996-05-17,-0.19487179487179482
1996-05-20,-0.17525773195876282
1996-05-21,-0.15343915343915335
1996-05-22,-0.1375661375661376
1996-05-23,-0.05913978494623661
1996-05-24,-0.08791208791208799
1996-05-28,-0.017751479289940846
1996-05-29,0.009467455621301784
1996-05-30,0.028395061728394948
1996-05-31,0.07643312101910821
1996-06-03,0.07643312101910821
1996-06-04,0.05624999999999991
1996-06-05,0.037499999999999895
1996-06-06,0.012269938650306761
1996-06-07,-0.09142857142857139
1996-06-10,-0.054216867469879436
1996-06-11,-0.06265060240963848
1996-06-12,-0.13833528722157093
1996-06-13,-0.11764705882352938
1996-06-14,-0.15384615384615385
1996-06-17,-0.20118343195266264
1996-06-18,-0.18934911242603542
1996-06-19,-0.20481927710843367
1996-06-20,-0.19393939393939386
1996-06-21,-0.11320754716981142
1996-06-24,-0.09554140127388543
1996-06-25,-0.06169665809768643
1996-06-26,-0.00680272108843538
1996-06-27,-0.009523809523809532
1996-06-28,0.020979020979020997
1996-07-01,0.07407407407407397
1996-07-02,0.05839416058394149
1996-07-03,0.12121212121212115
1996-07-05,0.11278195488721797
1996-07-08,0.04255319148936174
1996-07-09,0.042253521126760604
1996-07-10,0.0
1996-07-11,0.0
1996-07-12,-0.017857142857142873
1996-07-15,-0.034246575342465786
1996-07-16,-0.04827586206896556
1996-07-17,-0.0827586206896551
1996-07-18,-0.10135135135135129
1996-07-19,-0.12837837837837834
1996-07-22,-0.12925170068027209
1996-07-23,-0.11756756756756752
1996-07-24,-0.08904109589041088
1996-07-25,-0.08219178082191773
1996-07-26,-0.08391608391608384
1996-07-29,-0.06666666666666657
1996-07-30,-0.02898550724637668
1996-07-31,0.0015037593984962418
1996-08-02,0.04511278195488709
1996-08-05,0.07441860465116268
1996-08-06,0.0828124999999999
1996-08-07,0.06431852986217447
1996-08-08,0.04511278195488709
1996-08-09,0.03731343283582076
1996-08-12,0.07633587786259531
1996-08-13,0.0790273556231002
1996-08-14,0.03731343283582076
1996-08-15,0.04804804804804792
1996-08-16,0.007194244604316554
1996-08-19,0.01010101010101011
1996-08-20,0.01010101010101011
1996-08-21,0.025899280575539592
1996-08-22,0.0402877697841727
1996-08-23,0.028776978417266216
1996-08-26,0.014184397163120581
1996-08-27,0.007042253521126767
1996-08-28,0.028776978417266216
1996-08-29,0.024355300859598878
1996-08-30,0.0428571428571429
1996-09-03,0.0571428571428572
1996-09-04,0.09285714285714294
1996-09-05,0.07012622720897622
1996-09-06,0.05809128630705399
1996-09-09,0.06993006993006999
1996-09-10,0.0951048951048952
1996-09-11,0.09790209790209799
1996-09-12,0.09790209790209799
1996-09-13,0.10489510489510499
1996-09-16,0.06849315068493157
1996-09-17,0.04729729729729734
1996-09-18,0.0
1996-09-19,0.0026212319790301464
1996-09-20,-0.02875816993464055
1996-09-23,-0.026143790849673224
1996-09-24,-0.048531289910600295
1996-09-25,-0.02547770700636945
1996-09-26,0.0
1996-09-27,-0.006329113924050638
1996-09-30,-0.006410256410256416
1996-10-01,0.045161290322580684
1996-10-02,0.05228758169934645
1996-10-03,0.07843137254901954
1996-10-04,0.11036339165545082
1996-10-07,0.10738255033557041
1996-10-08,0.1315436241610738
1996-10-09,0.11503267973856204
1996-10-10,0.06369426751592348
1996-10-11,0.06369426751592348
1996-10-14,0.0774193548387096
1996-10-15,0.030864197530864085
1996-10-16,0.037267080745341505
1996-10-17,-0.048484848484848395
1996-10-18,-0.05454545454545446
1996-10-21,-0.05454545454545446
1996-10-22,-0.045077105575326126
1996-10-23,-0.05627198124267284
1996-10-24,-0.03233532934131726
1996-10-25,-0.011976047904191628
1996-10-28,-0.011976047904191628
1996-10-29,-0.011976047904191628
1996-10-30,-0.038323353293413076
1996-10-31,0.006369426751592362
1996-11-01,0.012820512820512832
1996-11-04,0.0
1996-11-05,-0.037267080745341644
1996-11-06,-0.04968944099378886
1996-11-07,-0.053217821782178265
1996-11-08,-0.09696969696969693
1996-11-11,-0.09333333333333328
1996-11-12,-0.10545454545454543
1996-11-13,-0.07222914072229147
1996-11-14,-0.06962025316455701
1996-11-15,-0.08227848101265829
1996-11-18,-0.07051282051282057
1996-11-19,-0.07741935483870975
1996-11-20,-0.07843137254901968
1996-11-21,-0.06535947712418307
1996-11-22,-0.040268456375838965
1996-11-25,-0.020053475935828895
1996-11-26,-0.006775067750677513
1996-11-27,-0.01342281879194632
1996-11-29,0.0
1996-12-02,0.013793103448275874
1996-12-03,0.027586206896551748
1996-12-04,0.041958041958041994
1996-12-05,0.056737588652482324
1996-12-06,0.041958041958041994
1996-12-09,0.027972027972028
1996-12-10,-0.031377899045020495
1996-12-11,-0.010914051841746259
1996-12-12,-0.0340136054421769
1996-12-13,-0.0340136054421769
1996-12-16,-0.00680272108843538
1996-12-17,-0.016107382550335586
1996-12-18,-0.01342281879194632
1996-12-19,0.0
1996-12-20,0.0
1996-12-23,0.0
1996-12-24,0.03521126760563384
1996-12-26,0.013793103448275874
