factor_a,factor_b,pearson_r,abs_pearson_r
Docx_F4_DJIA_Sentiment_10d,Docx_F5_Rig_Count_Neg_Growth,-0.005982,0.005982
Docx_F4_DJIA_Sentiment_10d,PDF_F1_Diesel_Vol_Mom_20d,-0.013015,0.013015
Docx_F4_DJIA_Sentiment_10d,PDF_F2_Gas_Vol_Mom_20d,0.105194,0.105194
Docx_F4_DJIA_Sentiment_10d,PDF_F3_Gas_Crack_Mom_10d,-0.001839,0.001839
Docx_F4_DJIA_Sentiment_10d,PDF_F4_Gas_Demand_Strength_5d,0.051274,0.051274
Docx_F4_DJIA_Sentiment_10d,PDF_F5_Heating_Vol_Mom_20d,0.037159,0.037159
Docx_F4_DJIA_Sentiment_10d,PDF_F6_Heating_Seasonal_15d,-0.072985,0.072985
Docx_F4_DJIA_Sentiment_10d,PDF_F7_Heating_Crack_Reversal_10d,0.068004,0.068004
Docx_F4_DJIA_Sentiment_10d,PDF_F8_Heating_Vol_Regime_5d,-0.095281,0.095281
Docx_F4_DJIA_Sentiment_10d,PDF_F9_Composite_Product_Mom_20d,0.058635,0.058635
Docx_F4_DJIA_Sentiment_10d,PDF_F10_Product_Spread_Div_15d,0.017452,0.017452
Docx_F4_DJIA_Sentiment_10d,PDF_F11_Diesel_Gas_Ratio_Mom_10d,-0.117407,0.117407
Docx_F4_DJIA_Sentiment_10d,PDF_F12_Refinery_Margin_Pressure_20d,-0.074413,0.074413
Docx_F4_DJIA_Sentiment_10d,PDF_F13_Demand_Structure_Shift_30d,0.028863,0.028863
Docx_F4_DJIA_Sentiment_10d,Refinery_Operating_Profitability_Factor_v1,-0.136991,0.136991
Docx_F4_DJIA_Sentiment_10d,usgc_singapore_margin_spread_factor_v1,-0.119965,0.119965
Docx_F4_DJIA_Sentiment_10d,Oil Consumption Momentum Factor,,
Docx_F4_DJIA_Sentiment_10d,diesel_price_volatility_factor_v1,0.00476,0.00476
Docx_F4_DJIA_Sentiment_10d,diesel_momentum_factor_10d,0.065747,0.065747
Docx_F5_Rig_Count_Neg_Growth,PDF_F1_Diesel_Vol_Mom_20d,-0.042569,0.042569
Docx_F5_Rig_Count_Neg_Growth,PDF_F2_Gas_Vol_Mom_20d,-0.021779,0.021779
Docx_F5_Rig_Count_Neg_Growth,PDF_F3_Gas_Crack_Mom_10d,0.116969,0.116969
Docx_F5_Rig_Count_Neg_Growth,PDF_F4_Gas_Demand_Strength_5d,0.001127,0.001127
Docx_F5_Rig_Count_Neg_Growth,PDF_F5_Heating_Vol_Mom_20d,-0.045842,0.045842
Docx_F5_Rig_Count_Neg_Growth,PDF_F6_Heating_Seasonal_15d,-0.260874,0.260874
Docx_F5_Rig_Count_Neg_Growth,PDF_F7_Heating_Crack_Reversal_10d,0.130606,0.130606
Docx_F5_Rig_Count_Neg_Growth,PDF_F8_Heating_Vol_Regime_5d,0.027146,0.027146
Docx_F5_Rig_Count_Neg_Growth,PDF_F9_Composite_Product_Mom_20d,-0.033605,0.033605
Docx_F5_Rig_Count_Neg_Growth,PDF_F10_Product_Spread_Div_15d,0.316913,0.316913
Docx_F5_Rig_Count_Neg_Growth,PDF_F11_Diesel_Gas_Ratio_Mom_10d,-0.041495,0.041495
Docx_F5_Rig_Count_Neg_Growth,PDF_F12_Refinery_Margin_Pressure_20d,-0.141975,0.141975
Docx_F5_Rig_Count_Neg_Growth,PDF_F13_Demand_Structure_Shift_30d,0.092778,0.092778
Docx_F5_Rig_Count_Neg_Growth,Refinery_Operating_Profitability_Factor_v1,0.175823,0.175823
Docx_F5_Rig_Count_Neg_Growth,usgc_singapore_margin_spread_factor_v1,0.066615,0.066615
Docx_F5_Rig_Count_Neg_Growth,Oil Consumption Momentum Factor,-0.197089,0.197089
Docx_F5_Rig_Count_Neg_Growth,diesel_price_volatility_factor_v1,0.008807,0.008807
Docx_F5_Rig_Count_Neg_Growth,diesel_momentum_factor_10d,0.019339,0.019339
PDF_F1_Diesel_Vol_Mom_20d,PDF_F2_Gas_Vol_Mom_20d,0.659873,0.659873
PDF_F1_Diesel_Vol_Mom_20d,PDF_F3_Gas_Crack_Mom_10d,-0.029054,0.029054
PDF_F1_Diesel_Vol_Mom_20d,PDF_F4_Gas_Demand_Strength_5d,0.248487,0.248487
PDF_F1_Diesel_Vol_Mom_20d,PDF_F5_Heating_Vol_Mom_20d,0.812602,0.812602
PDF_F1_Diesel_Vol_Mom_20d,PDF_F6_Heating_Seasonal_15d,0.113216,0.113216
PDF_F1_Diesel_Vol_Mom_20d,PDF_F7_Heating_Crack_Reversal_10d,-0.281813,0.281813
PDF_F1_Diesel_Vol_Mom_20d,PDF_F8_Heating_Vol_Regime_5d,-0.105091,0.105091
PDF_F1_Diesel_Vol_Mom_20d,PDF_F9_Composite_Product_Mom_20d,0.882267,0.882267
PDF_F1_Diesel_Vol_Mom_20d,PDF_F10_Product_Spread_Div_15d,-0.018612,0.018612
PDF_F1_Diesel_Vol_Mom_20d,PDF_F11_Diesel_Gas_Ratio_Mom_10d,0.208435,0.208435
PDF_F1_Diesel_Vol_Mom_20d,PDF_F12_Refinery_Margin_Pressure_20d,0.249579,0.249579
PDF_F1_Diesel_Vol_Mom_20d,PDF_F13_Demand_Structure_Shift_30d,-0.112066,0.112066
PDF_F1_Diesel_Vol_Mom_20d,Refinery_Operating_Profitability_Factor_v1,-0.125597,0.125597
PDF_F1_Diesel_Vol_Mom_20d,usgc_singapore_margin_spread_factor_v1,-0.043752,0.043752
PDF_F1_Diesel_Vol_Mom_20d,Oil Consumption Momentum Factor,0.075644,0.075644
PDF_F1_Diesel_Vol_Mom_20d,diesel_price_volatility_factor_v1,0.035061,0.035061
PDF_F1_Diesel_Vol_Mom_20d,diesel_momentum_factor_10d,0.500685,0.500685
PDF_F2_Gas_Vol_Mom_20d,PDF_F3_Gas_Crack_Mom_10d,0.12485,0.12485
PDF_F2_Gas_Vol_Mom_20d,PDF_F4_Gas_Demand_Strength_5d,0.406729,0.406729
PDF_F2_Gas_Vol_Mom_20d,PDF_F5_Heating_Vol_Mom_20d,0.718679,0.718679
PDF_F2_Gas_Vol_Mom_20d,PDF_F6_Heating_Seasonal_15d,0.091979,0.091979
PDF_F2_Gas_Vol_Mom_20d,PDF_F7_Heating_Crack_Reversal_10d,-0.135222,0.135222
PDF_F2_Gas_Vol_Mom_20d,PDF_F8_Heating_Vol_Regime_5d,-0.133056,0.133056
PDF_F2_Gas_Vol_Mom_20d,PDF_F9_Composite_Product_Mom_20d,0.935894,0.935894
PDF_F2_Gas_Vol_Mom_20d,PDF_F10_Product_Spread_Div_15d,0.03765,0.03765
PDF_F2_Gas_Vol_Mom_20d,PDF_F11_Diesel_Gas_Ratio_Mom_10d,-0.286312,0.286312
PDF_F2_Gas_Vol_Mom_20d,PDF_F12_Refinery_Margin_Pressure_20d,0.285877,0.285877
PDF_F2_Gas_Vol_Mom_20d,PDF_F13_Demand_Structure_Shift_30d,0.274932,0.274932
PDF_F2_Gas_Vol_Mom_20d,Refinery_Operating_Profitability_Factor_v1,-0.094143,0.094143
PDF_F2_Gas_Vol_Mom_20d,usgc_singapore_margin_spread_factor_v1,-0.030269,0.030269
PDF_F2_Gas_Vol_Mom_20d,Oil Consumption Momentum Factor,0.054477,0.054477
PDF_F2_Gas_Vol_Mom_20d,diesel_price_volatility_factor_v1,-0.014908,0.014908
PDF_F2_Gas_Vol_Mom_20d,diesel_momentum_factor_10d,0.304464,0.304464
PDF_F3_Gas_Crack_Mom_10d,PDF_F4_Gas_Demand_Strength_5d,0.093922,0.093922
PDF_F3_Gas_Crack_Mom_10d,PDF_F5_Heating_Vol_Mom_20d,-0.036711,0.036711
PDF_F3_Gas_Crack_Mom_10d,PDF_F6_Heating_Seasonal_15d,-0.029239,0.029239
PDF_F3_Gas_Crack_Mom_10d,PDF_F7_Heating_Crack_Reversal_10d,-0.057931,0.057931
PDF_F3_Gas_Crack_Mom_10d,PDF_F8_Heating_Vol_Regime_5d,0.046576,0.046576
PDF_F3_Gas_Crack_Mom_10d,PDF_F9_Composite_Product_Mom_20d,0.064597,0.064597
PDF_F3_Gas_Crack_Mom_10d,PDF_F10_Product_Spread_Div_15d,0.082801,0.082801
PDF_F3_Gas_Crack_Mom_10d,PDF_F11_Diesel_Gas_Ratio_Mom_10d,-0.285494,0.285494
PDF_F3_Gas_Crack_Mom_10d,PDF_F12_Refinery_Margin_Pressure_20d,0.007144,0.007144
PDF_F3_Gas_Crack_Mom_10d,PDF_F13_Demand_Structure_Shift_30d,0.001889,0.001889
