factor,mean,std,min,max,variance
Docx_F1_WTI_Momentum_5d,0.0017198605123096026,0.04955936718512448,-0.2201552895503074,0.2627617801047119,0.002456130875789993
Docx_F2_Brent_WTI_Spread,2.5110338870431894,5.794506880562263,-22.179999999999996,54.34,33.576309988883416
Docx_F3_USD_Inv_Ret,1.4911152090577464e-05,0.0019196273785794477,-0.0060862158787386,0.0055643806941764,3.684969272591802e-06
Docx_F4_DJIA_Sentiment_10d,0.0039670551605533125,0.026854169700114082,-0.116041326680364,0.1088911257462925,0.0007211464302825252
Docx_F5_Rig_Count_Neg_Growth,-0.004046119610621733,0.07168024825037392,-0.2628865979381443,0.4331210191082802,0.0051380579892352325
PDF_F1_Diesel_Vol_Mom_20d,0.021904186398096402,0.2639599953123239,-1.0498570456588583,0.9973423592833216,0.06967487912528206
PDF_F2_Gas_Vol_Mom_20d,0.03106057349911704,0.23514441454612686,-0.8287047929538767,0.8908262247799712,0.05529289569224075
PDF_F3_Gas_Crack_Mom_10d,0.0004920751967462301,0.0152607766758848,-0.0671138506628479,0.4310333715431259,0.00023289130475122953
PDF_F4_Gas_Demand_Strength_5d,0.02556810631229236,0.4520084390436848,-1.0,1.0,0.20431162896670854
PDF_F5_Heating_Vol_Mom_20d,0.02813915283945339,0.23452011331529005,-0.9126055334145567,0.852649132442846,0.05499968354941648
PDF_F6_Heating_Seasonal_15d,0.9133730925689875,1.43179230623948,-35.41183479856865,5.5745286782287735,2.0500292082065688
PDF_F7_Heating_Crack_Reversal_10d,-0.12043659920075853,1.3483439911678676,-7.009781086180347,4.124341878839218,1.8180315185184945
PDF_F8_Heating_Vol_Regime_5d,-0.07520257365772516,0.4184062199739645,-0.8905958977808238,2.111917830813702,0.17506376491290154
PDF_F9_Composite_Product_Mom_20d,0.027399418862424477,0.22519462414966457,-0.7454846616353618,0.7537487259147956,0.05071261874590869
PDF_F10_Product_Spread_Div_15d,0.059436123929588525,0.03402109908451501,0.0117966986019931,0.2651149598932648,0.0011574351829183884
PDF_F11_Diesel_Gas_Ratio_Mom_10d,0.0022683183053004577,0.0682883928592063,-0.3104361228153675,0.9748523534469996,0.004663304599293298
PDF_F12_Refinery_Margin_Pressure_20d,0.008032184113850439,1.0550020728049836,-2.2806699624360625,2.680581198575485,1.1130293736228118
PDF_F13_Demand_Structure_Shift_30d,0.003731837199858658,0.10561709372481591,-0.3430550370916839,0.9028933820210884,0.01115497048687655
Refinery_Operating_Profitability_Factor_v1,4.784673958909683,2.3769303985935895,-0.7723770759798206,12.53,5.649798119758279
usgc_singapore_margin_spread_factor_v1,4.838507837130428,4.172728591727073,-4.46,18.450000000000003,17.411663900216602
Oil Consumption Momentum Factor,0.011182772769422407,0.02594055756658544,-0.0940863595427887,0.060067519510081,0.0006729125268653333
diesel_price_volatility_factor_v1,0.053891996779128155,0.051343186852855806,0.0006324555320292,0.6572297021541395,0.002636122836207265
diesel_momentum_factor_10d,0.003756239328467075,0.0640531641203598,-0.2988313856427378,0.5499999999999999,0.004102807833829747
