factor_a,factor_b,correlation
PDF_F1_Diesel_Vol_Mom_20d,PDF_F9_Composite_Product_Mom_20d,0.8822670975418138
PDF_F2_Gas_Vol_Mom_20d,PDF_F9_Composite_Product_Mom_20d,0.9358939784179384
